Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
# S,→,→,↓,D,O,O,D,→,E
# O,O,O,→,↓,P,O,→,↑,O
# O,D,↓,←,←,O,#,↑,O,O
# O,↓,←,O,P,O,O,↑,P,O
# O,↓,D,O,O,#,#,↑,←,O
# O,→,→,↓,→,→,↓,P,↑,O
# O,P,#,→,↑,D,→,→,↑,O
# O,#,O,P,O,O,D,O,O,O
# O,O,O,O,O,O,O,O,O,O

14,10,1,0,0,0,18.5,4.399,0.5968254
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,→,→,→,↓,D,#,O,O
# S,→,↑,P,O,→,→,↓,P,O
# O,O,D,O,O,O,P,↓,#,O
# O,#,O,#,O,#,↓,←,P,O
# O,↓,←,←,O,O,↓,D,O,O
# O,↓,D,↑,←,P,→,↓,D,O
# O,→,↓,P,↑,←,←,←,→,E
# O,D,→,→,→,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

15,10,1,1,0,0,18.5,4.51,0.5978836
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,D,O,P,#,D,O,O
# O,D,→,→,→,→,→,↓,O,O
# O,→,↑,P,O,↓,←,←,→,E
# O,↑,←,O,O,→,→,↓,↑,O
# O,P,↑,←,O,P,↓,←,↑,O
# O,O,D,↑,#,↓,←,D,↑,O
# O,→,→,↑,#,↓,P,→,↑,O
# S,↑,P,O,#,→,→,↑,D,O
# O,O,O,O,O,O,O,O,O,O

16,10,1,2,0,0,31,4.091,0.5896877
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,#,P,→,→,E
# O,D,O,O,O,O,→,↑,D,O
# O,→,→,↓,#,O,↑,D,O,O
# O,↑,↓,←,D,O,↑,←,#,O
# O,↑,↓,P,#,O,O,↑,←,O
# O,↑,→,→,↓,D,O,P,↑,O
# S,↑,P,O,→,↓,P,→,↑,O
# O,O,O,O,P,→,→,↑,D,O
# O,O,O,O,O,O,O,O,O,O

17,10,1,0,0,0,18,4.238,0.6111111
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,↓,P,O,#,O,O,#,O,O
# O,→,↓,P,→,→,↓,P,O,O
# O,D,→,→,↑,D,→,↓,→,E
# O,O,O,O,P,O,D,↓,↑,O
# O,P,↓,←,←,←,←,←,↑,O
# O,↓,←,D,O,#,#,D,↑,O
# O,↓,P,#,O,O,→,→,↑,O
# O,→,→,→,→,→,↑,D,O,O
# O,O,O,O,O,O,O,O,O,O

18,10,1,0,0,0,18.5,4.062,0.5997401
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,↓,P,→,→,→,→,↓,O
# O,#,→,→,↑,D,#,P,↓,O
# O,#,D,O,P,O,↓,←,←,O
# O,↓,←,←,O,O,↓,D,→,E
# O,↓,P,↑,←,O,↓,#,↑,O
# O,→,↓,D,↑,←,←,D,↑,O
# O,#,→,↓,D,O,P,O,↑,O
# O,O,P,→,→,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

19,10,1,0,0,0,17,4.292,0.5895061
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,→,→,→,↓,P,O,O,#,O
# O,↑,D,O,→,↓,D,O,→,E
# O,↑,←,←,D,→,↓,D,↑,O
# O,O,P,↑,O,P,↓,O,↑,O
# O,#,O,↑,P,↓,←,D,↑,O
# O,O,P,↑,#,↓,P,→,↑,O
# O,O,→,↑,O,→,→,↑,D,O
# S,→,↑,O,O,#,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

20,10,1,3,0,0,21,4.402,0.5935673
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,P,O,#,O,#,P,O,O
