Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
# O,O,#,O,O,#,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

14,5,1,15,0,0,112,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,P,O,O,O,O
# O,O,D,→,→,→,↓,O,#,O
# S,→,→,↑,↓,←,←,O,→,E
# O,O,O,P,↓,O,D,O,↑,O
# O,O,P,↓,←,O,O,→,↑,O
# O,#,O,→,→,→,→,↑,D,O
# O,#,#,O,#,#,#,O,#,O
# O,O,#,#,#,#,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

15,5,1,3,0,0,116,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,D,O,O,O,O,O,#,O
# O,O,→,→,→,→,→,→,↓,O
# O,#,↑,O,O,#,#,#,↓,O
# O,#,↑,#,#,#,P,O,↓,O
# O,O,↑,←,←,←,←,←,→,E
# O,P,#,O,O,O,D,↑,←,O
# S,→,→,→,→,→,↓,P,↑,O
# O,#,O,#,D,O,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

16,5,1,2,0,0,66,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,→,→,↓,P,#,O,O
# O,O,O,↑,D,→,→,↓,D,O
# O,#,#,↑,←,←,←,→,↓,O
# O,O,→,→,→,↓,↑,O,↓,O
# O,#,↑,P,O,↓,↑,#,→,E
# O,O,↑,←,D,→,↑,O,O,O
# O,O,#,↑,#,P,#,#,#,O
# S,→,→,↑,#,O,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

17,5,1,0,0,0,36,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,P,O,O,O,O,#,D,O,O
# O,→,→,→,→,→,↓,→,↓,O
# O,↑,#,D,O,O,→,↑,→,E
# O,↑,O,#,O,#,P,O,O,O
# O,↑,O,O,#,O,O,O,#,O
# O,↑,O,#,#,O,O,O,O,O
# S,↑,O,#,O,O,#,O,#,O
# O,#,O,#,O,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

18,5,2,18,0,1,132,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,↓,P,O,#,O,O,#,→,E
# O,→,↓,O,O,O,O,O,↑,O
# O,O,→,→,↓,#,O,#,↑,O
# O,O,D,O,↓,#,O,O,↑,O
# O,O,O,#,↓,O,→,→,↑,O
# O,O,O,O,→,→,↑,D,#,O
# O,O,O,O,P,#,#,#,O,O
# O,#,#,O,O,O,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

19,5,1,0,0,0,62,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,P,O,#,#,O,O
# O,#,P,O,→,→,→,→,↓,O
# O,→,→,→,↑,O,#,↓,←,O
# O,↑,D,#,O,#,#,↓,D,O
# O,↑,#,#,O,O,O,→,↓,O
# O,↑,O,O,O,O,#,O,↓,O
# O,↑,O,O,#,O,O,O,→,E
# S,↑,O,O,#,O,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

20,5,1,1,0,0,68,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,→,→,→,→,→,↓,O,O
# O,#,#,#,P,O,D,↓,O,O
# O,↓,←,←,←,←,←,←,O,O
# O,↓,D,O,#,P,#,O,O,O
# O,→,→,→,→,→,↓,O,→,E
# O,O,O,#,O,O,↓,D,↑,O
# O,O,#,O,#,#,→,→,↑,O
# O,#,#,#,O,O,P,#,O,O
# O,O,O,O,O,O,O,O,O,O

21,5,1,0,0,0,32,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,#,O,O,O,O,O,O
# S,→,↓,O,O,#,O,O,→,E
# O,#,↓,D,#,#,O,D,↑,O
# O,O,→,→,→,→,↓,→,↑,O
# O,O,P,O,#,O,→,↑,#,O
# O,#,#,#,O,O,P,O,O,O
# O,O,O,O,O,#,O,O,O,O
# O,O,O,O,O,O,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

22,5,4,31,1,3,352,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,#,O,#,O,#,O
# O,#,#,O,O,O,O,#,#,O
# O,O,D,O,O,O,#,#,O,O
# O,O,→,→,→,→,→,→,↓,O
# O,O,↑,←,←,←,P,O,↓,O
# O,P,#,#,D,↑,←,O,→,E
# O,→,→,→,→,→,↑,O,O,O
# S,↑,#,O,#,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

23,5,3,39,0,2,210,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,P,O,O,#,O,#,O
# O,O,P,→,↓,O,#,#,O,O
# O,→,→,↑,↓,O,O,O,O,O
# O,↑,D,#,↓,O,#,O,O,O
# O,↑,O,O,→,→,→,→,→,E
# O,↑,#,O,D,#,P,O,D,O
# O,↑,O,#,O,O,O,O,O,O
# S,↑,O,#,#,#,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

24,5,1,1,0,0,118,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,↓,D,→,↓,#,O,#,O
# O,#,→,→,↑,↓,#,O,→,E
# O,O,O,#,P,→,↓,#,↑,O
# O,O,#,#,O,P,↓,O,↑,O
# O,O,O,#,O,↓,←,#,↑,O
# O,P,↓,←,←,←,O,O,↑,O
# O,O,→,→,↓,D,#,#,↑,O
# O,O,D,#,→,→,→,→,↑,O
