Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
# O,D,#,#,→,→,↓,O,#,O
# S,↓,P,→,↑,P,→,↓,O,O
# O,→,→,↑,P,O,D,↓,#,O
# O,↓,←,←,←,←,←,←,O,O
# O,↓,D,O,→,→,↓,O,→,E
# O,→,↓,→,↑,P,↓,P,↑,O
# O,O,→,↑,D,#,→,→,↑,O
# O,O,P,O,O,O,D,O,D,O
# O,O,O,O,O,O,O,O,O,O

14,10,1,0,0,0,18,3.841,0.6049383
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,→,→,→,→,→,→,↓,D,O
# O,↑,D,O,D,O,P,→,→,E
# O,↑,←,←,←,O,O,O,O,O
# O,P,O,P,↑,←,O,O,#,O
# O,→,↓,O,P,↑,←,←,D,O
# S,↑,↓,#,O,O,P,↑,←,O
# O,D,→,→,→,→,→,→,↑,O
# O,O,P,O,#,D,#,O,#,O
# O,O,O,O,O,O,O,O,O,O

15,10,1,0,0,0,31.5,4.136,0.5895061
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,D,→,→,→,↓,D,O,→,E
# S,→,↑,O,P,→,↓,D,↑,O
# O,#,P,↓,←,D,↓,→,↑,O
# O,D,#,↓,↑,↓,←,↑,O,O
# O,↓,←,←,↑,↓,#,↑,#,O
# O,→,↓,P,↑,←,O,↑,O,O
# O,O,→,→,↓,P,→,↑,P,O
# O,#,O,P,→,→,↑,D,O,O
# O,O,O,O,O,O,O,O,O,O

16,10,1,0,0,0,26,3.918,0.6111111
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,P,#,O,O,O,P,#,→,E
# O,→,→,↓,P,#,→,↓,↑,O
# O,↑,←,→,→,↓,↑,→,↑,O
# O,D,↑,O,D,↓,↑,D,O,O
# S,→,↑,↓,←,←,↑,←,P,O
# O,#,P,↓,D,O,D,↑,←,O
# O,O,O,→,↓,P,O,O,↑,O
# O,#,O,D,→,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

17,10,1,0,0,0,21.5,4.293,0.5846561
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,→,↓,→,→,→,→,↓,O
# O,P,#,↓,↑,P,#,↓,←,O
# O,O,P,↓,↑,←,D,↓,D,O
# O,D,↓,←,#,↑,←,→,↓,O
# O,↓,←,D,O,#,↑,←,↓,O
# O,↓,P,O,O,O,P,↑,→,E
# O,→,↓,D,→,→,↓,↑,#,O
# O,O,→,→,↑,D,→,↑,P,O
# O,O,O,O,O,O,O,O,O,O

18,10,1,0,0,0,19.5,3.907,0.6120858
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,P,O,#,P,→,→,↓,O
# O,O,→,→,→,→,↑,D,→,E
# O,O,↑,D,↓,←,←,←,D,O
# O,O,↑,←,←,O,P,↑,←,O
# O,O,P,O,P,→,→,↓,↑,O
# O,#,O,O,→,↑,D,→,↑,O
# S,→,→,→,↑,D,#,D,O,O
# O,#,P,O,O,O,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

19,10,1,0,0,0,17,4.125,0.5884774
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,→,→,↓,O,O,O,#,O
# O,→,↑,D,→,↓,D,#,O,O
# O,↑,P,O,P,→,↓,D,O,O
# O,↑,←,D,O,P,→,↓,P,O
# O,O,↑,←,←,←,O,→,↓,O
# O,#,O,O,D,↑,←,#,↓,O
# O,O,P,O,→,→,↑,P,↓,O
# S,→,→,→,↑,D,O,O,→,E
# O,O,O,O,O,O,O,O,O,O

20,10,1,0,0,0,18.5,4.124,0.5856307
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,→,→,→,→,→,→,↓,O
# O,D,↑,←,←,P,#,D,→,E
# O,O,O,P,↑,←,←,←,O,O
# O,O,→,→,↓,P,O,↑,O,O
# O,D,↑,D,→,↓,P,↑,P,O
# O,→,↑,O,#,→,↓,↑,←,O
# S,↑,P,O,O,D,→,→,↑,O
# O,O,O,O,O,#,D,#,O,O
# O,O,O,O,O,O,O,O,O,O

21,10,1,0,0,0,15,4.276,0.600823
# Map Data Below
