Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
# O,#,O,#,O,→,→,→,↑,O
# O,O,#,#,O,↑,P,O,O,O
# S,→,→,↓,P,↑,←,←,←,O
# O,O,O,→,→,→,↓,P,↑,O
# O,O,#,O,O,D,→,→,↑,O
# O,#,O,#,#,#,D,#,O,O
# O,O,O,O,O,O,O,O,O,O

14,5,1,3,0,0,35,0.213,0.7863635
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,→,→,→,→,→,→,↓,O
# O,O,↑,←,←,←,←,#,↓,O
# O,O,D,#,#,D,↑,O,↓,O
# O,O,#,O,P,→,↑,#,↓,O
# O,#,O,O,#,↑,#,#,→,E
# S,→,↓,#,D,↑,O,O,O,O
# O,O,→,→,→,↑,O,O,O,O
# O,O,P,#,P,O,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

15,5,1,2,0,0,31,0.29,0.7863635
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,D,#,O,O,O,#,O
# O,O,#,→,→,→,↓,O,#,O
# O,→,→,↑,O,#,↓,O,#,O
# O,↑,P,#,O,D,↓,O,O,O
# O,↑,←,←,←,←,↓,#,O,O
# O,O,→,→,→,↑,↓,D,→,E
# S,→,↑,P,O,#,→,→,↑,O
# O,#,O,#,O,O,O,P,#,O
# O,O,O,O,O,O,O,O,O,O

16,5,1,2,0,0,31,0.224,0.7589125
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,D,O,O,#,O,O,O
# O,#,#,→,→,→,↓,#,→,E
# S,→,↓,↑,←,O,↓,O,↑,O
# O,O,→,→,↑,D,→,↓,↑,O
# O,#,P,O,P,#,P,↓,↑,O
# O,O,O,#,O,↓,←,←,↑,O
# O,#,#,#,O,→,→,→,↑,O
# O,O,#,O,O,D,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

17,5,1,3,0,0,36,0.281,0.7348483
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,O,#,→,→,→,E
# S,→,→,→,↓,P,↑,P,#,O
# O,D,↓,←,←,#,↑,←,D,O
# O,#,→,→,↓,O,O,↑,O,O
# O,O,O,↓,←,O,#,↑,#,O
# O,O,O,↓,P,#,O,↑,O,O
# O,#,#,→,→,→,→,↑,#,O
# O,O,O,D,#,O,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

18,6,1,2,0,0,27,0.548,0.7589125
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,O,#,#,O,O,O
# O,O,O,#,O,O,O,O,#,O
# O,O,→,→,↓,D,O,O,→,E
# O,#,↑,P,→,→,→,→,↑,O
# O,#,↑,←,←,←,←,←,←,O
# S,→,↓,#,O,#,#,D,↑,O
# O,O,→,→,→,→,→,→,↑,O
