Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
# O,#,O,#,#,O,#,O,O,O
# O,#,#,#,O,#,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

14,2,1,0,0,0,34,0.125,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,#,O,#,#,#,O,O
# O,O,O,#,O,#,#,O,→,E
# O,O,O,O,#,#,O,O,↑,O
# O,#,O,#,O,O,O,O,↑,O
# O,#,O,#,O,O,O,O,↑,O
# O,O,O,O,O,D,#,O,↑,O
# S,→,→,→,→,→,→,→,↑,O
# O,O,#,P,#,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

15,2,1,0,0,0,30,0.134,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,#,O,#,#,→,E
# O,O,#,#,#,O,O,#,↑,O
# O,O,O,O,O,O,#,O,↑,O
# O,O,O,O,O,#,O,O,↑,O
# O,#,O,#,O,O,#,#,↑,O
# S,→,→,→,→,→,→,→,↑,O
# O,P,O,D,#,O,O,#,O,O
# O,O,#,#,O,O,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

16,2,1,0,0,0,34,0.132,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,→,↓,O,O,O,#,#,O
# O,#,P,↓,#,O,O,O,O,O
# O,#,#,↓,#,O,O,O,#,O
# O,O,#,↓,O,O,O,#,#,O
# O,#,O,↓,#,#,O,O,O,O
# O,O,O,→,→,→,→,→,→,E
# O,O,#,D,O,O,#,O,O,O
# O,O,#,#,O,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

17,2,1,0,0,0,30,0.145,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,O,O,O,O,O,#,O
# S,→,→,↓,O,#,#,O,#,O
# O,#,O,↓,O,O,#,O,O,O
# O,O,O,↓,O,#,O,O,O,O
# O,O,O,↓,#,#,#,#,O,O
# O,#,#,↓,D,O,O,#,O,O
# O,O,O,→,→,→,→,→,→,E
# O,#,O,P,O,O,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

18,1,2,21,0,1,134,0.106,0.7654321
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,P,O,O,O,O,O
# O,O,O,O,→,→,→,→,→,E
# O,#,O,#,↑,#,D,#,#,O
# O,O,#,O,↑,#,O,O,O,O
# O,#,O,O,↑,#,O,O,O,O
# O,#,O,O,↑,O,#,O,O,O
# S,→,→,→,↑,O,O,O,O,O
# O,O,O,#,#,#,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

19,2,1,0,0,0,22,0.148,0.6964285
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,#,#,O,O,#,O,O
# O,O,#,#,O,O,O,O,#,O
# O,#,O,O,O,O,O,#,O,O
# O,O,O,O,O,O,#,#,O,O
# O,O,O,#,#,O,O,#,#,O
# S,→,→,→,→,↓,P,O,O,O
# O,#,#,#,O,→,→,→,→,E
# O,#,O,O,#,#,O,O,D,O
# O,O,O,O,O,O,O,O,O,O

20,2,1,0,0,0,34,0.13,0.6997436
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,→,→,→,→,→,→,→,E
# O,O,↑,P,#,#,O,O,O,O
# O,O,↑,←,D,O,O,O,O,O
# S,→,→,↑,O,#,#,O,O,O
# O,#,O,#,#,O,O,#,O,O
# O,O,O,O,#,O,#,#,#,O
# O,O,#,O,#,O,#,O,#,O
# O,#,O,O,O,O,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

21,2,1,3,0,0,50,0.132,0.6964285
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,#,#,#,O,O
# O,#,O,#,#,#,O,O,O,O
# O,O,O,#,P,O,O,O,O,O
# O,O,#,O,→,→,→,→,↓,O
# O,P,#,O,↑,←,#,#,→,E
# S,→,→,→,→,↑,O,#,D,O
# O,O,O,#,O,D,O,O,#,O
# O,O,#,O,O,#,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

22,2,1,1,0,0,46,0.134,0.6964285
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,O,O,O,O,O,O
# O,O,O,O,#,O,#,#,#,O
# O,O,O,O,O,O,O,#,#,O
# O,O,#,→,→,→,→,→,→,E
# O,O,O,↑,P,#,#,#,#,O
# O,O,D,↑,←,O,O,O,O,O
# S,→,→,→,↑,#,#,O,#,O
# O,#,O,O,O,#,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

23,1,2,23,0,1,134,0.106,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,O,#,O,→,E
# O,O,O,O,O,O,P,#,↑,O
# O,#,O,O,#,O,→,↓,↑,O
# S,→,→,→,→,→,↑,→,↑,O
# O,O,O,O,O,#,#,D,O,O
# O,#,#,O,#,O,O,O,#,O
# O,O,#,O,O,#,#,O,#,O
# O,#,O,#,O,#,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

24,2,1,0,0,0,20,0.131,0.6926848
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,O,O,#,#,#,O,O
# O,#,O,O,O,O,O,O,#,O
# O,#,O,O,O,O,O,O,O,O
# S,→,→,→,→,→,→,→,→,E
# O,O,#,O,P,O,O,O,D,O
# O,#,O,#,#,#,O,O,O,O
# O,#,O,O,O,O,#,O,O,O
# O,#,#,O,O,#,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

25,2,1,2,0,0,46,0.134,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,#,O,O,O,P,#,O
# O,O,#,O,O,#,D,→,↓,O
# O,O,#,O,#,#,O,↑,→,E
# S,→,→,→,↓,#,O,↑,#,O
# O,#,#,O,→,→,→,↑,O,O
# O,O,O,O,P,O,O,D,O,O
# O,#,O,#,O,O,#,O,O,O
# O,O,O,O,O,#,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

26,1,3,32,0,2,178,0.1,0.7654321
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,↓,P,O,#,O,O,O,#,O
# O,↓,#,O,O,#,#,O,O,O
# O,↓,O,O,O,O,#,#,O,O
# O,↓,#,O,O,O,O,O,#,O
# O,↓,#,O,O,O,#,#,#,O
# O,→,→,→,→,→,→,→,→,E
# O,D,O,O,#,O,#,#,O,O
# O,O,O,#,#,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

27,2,1,0,0,0,26,0.136,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,→,→,→,→,→,→,→,E
# S,→,↑,D,#,O,#,O,O,O
# O,P,#,O,O,O,O,#,O,O
# O,#,O,O,O,#,O,O,#,O
# O,O,O,#,#,O,O,#,#,O
# O,#,#,O,O,O,O,#,#,O
# O,O,#,#,O,#,#,O,O,O
# O,O,O,O,O,O,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

28,2,1,0,0,0,34,0.128,0.6964285
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,O,#,O,O,→,E
# O,O,O,O,O,O,O,#,↑,O
# O,O,#,#,O,#,O,O,↑,O
# O,O,O,O,#,#,O,O,↑,O
# O,O,O,O,O,#,O,D,↑,O
# S,→,→,→,→,→,→,→,↑,O
# O,P,O,O,#,#,#,#,#,O
# O,O,O,O,O,#,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

29,2,1,0,0,0,34,0.12,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,D,O,O,#,O,#,O
# O,O,O,→,→,→,→,→,→,E
# S,→,↓,↑,O,#,#,O,O,O
# O,#,↓,↑,O,O,O,#,#,O
# O,O,→,↑,O,#,#,O,#,O
# O,O,P,O,#,O,O,#,#,O
# O,#,O,O,O,#,O,O,O,O
# O,O,#,O,O,O,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

30,2,1,0,0,0,34,0.124,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,O,O,O,O,O,#,O
# O,O,#,P,#,O,#,#,#,O
# S,→,→,→,→,→,→,→,↓,O
# O,O,O,O,O,#,O,D,↓,O
# O,O,O,O,#,#,O,#,↓,O
# O,O,O,O,O,O,O,O,↓,O
# O,O,O,#,#,O,#,#,↓,O
# O,O,O,O,O,#,#,O,→,E
# O,O,O,O,O,O,O,O,O,O

31,2,1,4,0,0,50,0.14,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,#,#,#,O,O,O
# O,#,O,O,O,#,D,O,#,O
# O,O,#,O,O,O,→,→,→,E
# O,O,O,O,O,#,↑,#,#,O
# O,O,O,#,O,O,↑,O,O,O
# O,O,O,#,O,#,↑,#,#,O
# O,O,O,P,O,#,↑,#,#,O
# S,→,→,→,→,→,↑,O,O,O
# O,O,O,O,O,O,O,O,O,O

32,2,1,1,0,0,34,0.126,0.6964285
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,#,O,O,O,O,O,O
# O,O,O,O,O,#,#,O,→,E
# O,#,#,O,O,O,#,O,↑,O
# O,O,O,O,#,O,O,#,↑,O
# O,#,#,#,O,O,O,O,↑,O
# O,#,#,#,O,O,O,O,↑,O
# S,→,→,→,→,→,→,→,↑,O
# O,#,O,O,O,P,O,#,D,O
# O,O,O,O,O,O,O,O,O,O

33,1,2,20,0,1,112,0.096,0.7654321
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,#,O,P,#,O,O
